,target_var,condition_var,condition_val,intervention,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X90,X93,0,0,0.9954900741577148,0.003287167925229216,1.0,4.0,0.0,"['X13', 'X1', 'X64', 'X29']"
1,X90,X93,0,1,0.990690815448761,0.004649146551692431,1.0,4.0,0.0,"['X13', 'X1', 'X64', 'X29']"
2,X90,X93,1,0,0.5769902914762497,0.23558775356568223,1.0,4.0,0.0,"['X13', 'X1', 'X64', 'X29']"
3,X90,X93,1,1,0.6486289948225021,0.2470956112165632,1.0,4.0,0.0,"['X13', 'X1', 'X64', 'X29']"
4,X84,X15,0,0,0.0001590644009411335,2.6769857337246017e-05,1.0,11.0,1.0,"['X2', 'X99', 'X81', 'X38', 'X94', 'X57', 'X62', 'X52', 'X37', 'X68', 'X29']"
5,X84,X15,0,1,0.0001964623894309625,9.213894298348849e-05,1.0,11.0,1.0,"['X2', 'X99', 'X81', 'X38', 'X94', 'X57', 'X62', 'X52', 'X37', 'X68', 'X29']"
6,X84,X15,1,0,0.9859390676021575,0.0007974641989871837,1.0,11.0,1.0,"['X2', 'X99', 'X81', 'X38', 'X94', 'X57', 'X62', 'X52', 'X37', 'X68', 'X29']"
7,X84,X15,1,1,0.9781436383724212,0.017609570860014228,1.0,11.0,1.0,"['X2', 'X99', 'X81', 'X38', 'X94', 'X57', 'X62', 'X52', 'X37', 'X68', 'X29']"
8,X15,X84,0,0,0.09857539094227832,0.2929760680475924,1.0,6.0,1.0,"['X62', 'X2', 'X52', 'X99', 'X57', 'X29']"
9,X15,X84,0,1,0.19826795801345726,0.39068314298836,1.0,6.0,1.0,"['X62', 'X2', 'X52', 'X99', 'X57', 'X29']"
10,X15,X84,1,0,0.9791218757629394,0.0019242183280627915,1.0,6.0,1.0,"['X62', 'X2', 'X52', 'X99', 'X57', 'X29']"
11,X15,X84,1,1,0.5887301669921726,0.48010065796883905,1.0,6.0,1.0,"['X62', 'X2', 'X52', 'X99', 'X57', 'X29']"
12,X39,X81,0,0,0.998463362455368,1.7519715426608163e-05,1.0,10.0,1.0,"['X32', 'X14', 'X18', 'X62', 'X98', 'X31', 'X77', 'X96', 'X68', 'X45']"
13,X39,X81,0,1,0.7819646120071411,0.17922165745101312,1.0,7.5,1.0,"['X32', 'X14', 'X18', 'X62', 'X98', 'X31', 'X77', 'X96', 'X68', 'X45']"
14,X39,X81,1,0,0.6569296240806579,0.17206158000993182,1.0,10.0,1.0,"['X32', 'X14', 'X18', 'X62', 'X98', 'X31', 'X77', 'X96', 'X68', 'X45']"
15,X39,X81,1,1,0.6051396548748016,0.13450052770312243,1.0,10.0,1.0,"['X32', 'X14', 'X18', 'X62', 'X98', 'X31', 'X77', 'X96', 'X68', 'X45']"
16,X2,X39,0,0,0.01983521319925785,0.0,1.0,1.0,1.0,['X15']
17,X2,X39,0,1,0.559588136523962,0.44140493677038334,1.0,1.0,1.0,['X15']
18,X2,X39,1,0,0.8767797827720643,0.26501730680465696,1.0,1.0,1.0,['X15']
19,X2,X39,1,1,0.6922603640705347,0.4185601375372509,1.0,1.0,1.0,['X15']
20,X70,X93,0,0,0.9998213827610016,5.6916475296020506e-05,1.0,2.0,1.0,"['X44', 'X1']"
21,X70,X93,0,1,0.9997856020927429,0.00013356682746609483,1.0,2.0,1.0,"['X44', 'X1']"
22,X70,X93,1,0,0.14831059239804745,0.28384814970195293,1.0,2.0,1.0,"['X44', 'X1']"
23,X70,X93,1,1,0.24652747809886932,0.37584721717119046,1.0,2.0,1.0,"['X44', 'X1']"
24,X90,X44,0,0,0.99988893866539,2.2405385971069338e-05,1.0,2.0,1.0,"['X70', 'X64']"
25,X90,X44,0,1,0.999598228931427,0.00017149448394775392,1.0,2.0,1.0,"['X70', 'X64']"
26,X90,X44,1,0,0.44622490406036375,0.31100720517952707,1.0,2.0,1.0,"['X70', 'X64']"
27,X90,X44,1,1,0.38526423573493956,0.0183821976184845,1.0,2.0,1.0,"['X70', 'X64']"
28,X44,X41,0,0,0.6392242029309273,0.4371555305266002,1.0,7.0,0.0,"['X0', 'X31', 'X13', 'X1', 'X28', 'X70', 'X78']"
29,X44,X41,0,1,0.2568062521517277,0.3680792160412203,1.0,7.0,0.0,"['X0', 'X31', 'X13', 'X1', 'X28', 'X70', 'X78']"
30,X44,X41,1,0,0.028915504086762668,0.010803763540400732,1.0,7.0,0.0,"['X0', 'X31', 'X1', 'X13', 'X28', 'X70', 'X78']"
31,X44,X41,1,1,0.1417501736432314,0.28428626082400493,1.0,6.2,0.0,"['X0', 'X31', 'X13', 'X1', 'X28', 'X70', 'X78']"
