,target_var,condition_var,condition_val,intervention,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X64,X29,0,0,0.5223998457193375,0.15547498147571903,1.0,6.0,1.0,"['X67', 'X18', 'X61', 'X59', 'X53', 'X55']"
1,X64,X29,0,1,0.36487841883208605,0.3025616260611185,2.0,6.0,1.0,"['X67', 'X18', 'X61', 'X59', 'X53', 'X55']"
2,X64,X29,1,0,0.008332312013953925,0.0010909312382646756,1.0,6.0,1.0,"['X67', 'X18', 'X61', 'X59', 'X53', 'X55']"
3,X64,X29,1,1,0.08453614686150104,0.1829403516409724,2.0,6.0,1.0,"['X67', 'X18', 'X61', 'X59', 'X53', 'X55']"
4,X64,X62,0,0,0.5212862014770507,0.0030253851085558915,1.0,5.0,1.0,"['X67', 'X61', 'X59', 'X53', 'X55']"
5,X64,X62,0,1,0.31811121399514375,0.25318902555013223,2.0,5.0,1.0,"['X67', 'X61', 'X59', 'X53', 'X55']"
6,X64,X62,1,0,0.01301502613350749,0.00024884403607194975,1.0,5.0,1.0,"['X67', 'X61', 'X59', 'X53', 'X55']"
7,X64,X62,1,1,0.09186425418592989,0.1917531104883984,2.0,5.0,1.0,"['X67', 'X61', 'X59', 'X53', 'X55']"
8,X18,X88,0,0,0.001078781532123685,1.418539322912693e-05,1.0,5.0,1.0,"['X67', 'X61', 'X59', 'X53', 'X55']"
9,X18,X88,0,1,0.006225938553689048,0.013517350008882536,2.0,5.0,1.0,"['X67', 'X61', 'X59', 'X53', 'X55']"
10,X18,X88,1,0,0.11583811491727829,0.002055366910689102,1.0,5.0,1.0,"['X67', 'X61', 'X59', 'X53', 'X55']"
11,X18,X88,1,1,0.07412043786607683,0.05172389931154557,2.0,5.0,1.0,"['X67', 'X61', 'X59', 'X53', 'X55']"
12,X90,X8,0,0,0.9950646162033081,5.7849812991026016e-05,1.0,8.0,1.0,"['X27', 'X97', 'X40', 'X21', 'X35', 'X55', 'X32', 'X60']"
13,X90,X8,0,1,0.8957681867992505,0.29744841717544585,2.0,6.4,1.0,"['X27', 'X97', 'X40', 'X21', 'X35', 'X55', 'X32', 'X60']"
14,X90,X8,1,0,0.3721386009128764,0.45429502842773073,1.0,8.0,1.0,"['X27', 'X97', 'X40', 'X21', 'X35', 'X55', 'X32', 'X60']"
15,X90,X8,1,1,0.3860178106464446,0.47034966416543095,2.0,7.2,1.0,"['X27', 'X97', 'X40', 'X21', 'X35', 'X55', 'X32', 'X60']"
16,X76,X37,0,0,0.22153741605579852,0.3136966520485032,1.0,10.0,1.0,"['X67', 'X69', 'X38', 'X70', 'X1', 'X65', 'X88', 'X63', 'X0', 'X71']"
17,X76,X37,0,1,0.27131534814834596,0.37144269997993307,2.0,13.0,1.0,"['X46', 'X67', 'X69', 'X7', 'X38', 'X70', 'X1', 'X47', 'X65', 'X88', 'X63', 'X85', 'X58', 'X35', 'X0', 'X71']"
18,X76,X37,1,0,0.05712438337504864,0.014629658613464007,1.0,10.0,1.0,"['X67', 'X69', 'X38', 'X70', 'X1', 'X65', 'X88', 'X63', 'X0', 'X71']"
19,X76,X37,1,1,0.0987712001428008,0.19773871491087894,2.0,13.0,1.0,"['X46', 'X67', 'X69', 'X7', 'X38', 'X70', 'X1', 'X47', 'X65', 'X88', 'X63', 'X85', 'X58', 'X35', 'X0', 'X71']"
20,X8,X21,0,0,0.23740909695625306,0.002321868004924573,1.0,8.0,1.0,"['X27', 'X97', 'X55', 'X90', 'X35', 'X40', 'X32', 'X60']"
21,X8,X21,0,1,0.29503739923238753,0.15937174102012155,2.0,8.0,1.0,"['X27', 'X97', 'X55', 'X90', 'X35', 'X40', 'X32', 'X60']"
22,X8,X21,1,0,0.8287356823682785,0.3010902987938302,1.0,8.0,1.0,"['X27', 'X97', 'X55', 'X90', 'X35', 'X40', 'X32', 'X60']"
23,X8,X21,1,1,0.7290909305214882,0.3430043600796308,2.0,8.0,1.0,"['X27', 'X97', 'X55', 'X90', 'X35', 'X40', 'X32', 'X60']"
24,X21,X8,0,0,0.048204198479652405,0.0,1.0,1.0,1.0,['X32']
25,X21,X8,0,1,0.23065790049731733,0.36449075477628856,2.0,1.0,1.0,['X32']
26,X21,X8,1,0,0.7834060624241829,0.3359989255666733,1.0,1.0,1.0,['X32']
27,X21,X8,1,1,0.5569003656506538,0.4375738332839754,2.0,1.0,1.0,['X32']
28,X83,X8,0,0,0.853313684463501,0.00013438625585545738,1.0,5.0,1.0,"['X27', 'X63', 'X85', 'X35', 'X80']"
29,X83,X8,0,1,0.8272090651094913,0.13311058129025097,2.0,5.0,1.0,"['X27', 'X63', 'X85', 'X35', 'X80']"
30,X83,X8,1,0,0.5289169073104858,0.3141991200200207,1.0,5.0,1.0,"['X27', 'X63', 'X85', 'X35', 'X80']"
31,X83,X8,1,1,0.4698381729424,0.3099769439765377,2.0,5.0,1.0,"['X27', 'X63', 'X85', 'X35', 'X80']"
32,X89,X70,0,0,0.9898526191711425,0.002427908463992988,1.0,3.0,1.0,"['X65', 'X0', 'X71']"
33,X89,X70,0,1,0.6940507987514138,0.4470812887184605,2.0,3.0,1.0,"['X65', 'X0', 'X71']"
34,X89,X70,1,0,0.00918849715963006,0.0005087835137408236,1.0,3.0,1.0,"['X65', 'X0', 'X71']"
