,target_var,condition_var,condition_val,intervention,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X23,X6,0,0,0.20398933589458465,0.010975887528857572,1.0,4.0,1.0,"['X45', 'X51', 'X44', 'X38']"
1,X23,X6,0,1,0.4315270036458969,0.3301740771600017,2.0,3.5,1.0,"['X45', 'X51', 'X44', 'X38']"
2,X23,X6,1,0,0.9995431065559387,0.00033144950866699214,1.0,4.0,1.0,"['X45', 'X51', 'X44', 'X38']"
3,X23,X6,1,1,0.7812948301434517,0.29701196834850935,2.0,3.5,1.0,"['X45', 'X51', 'X44', 'X38']"
4,X61,X45,0,0,0.6996259473264217,0.3982927072352885,1.0,3.1,1.0,"['X51', 'X44', 'X25', 'X23']"
5,X61,X45,0,1,0.7978587124496699,0.35515455980423566,2.0,3.4,1.0,"['X51', 'X44', 'X25', 'X23']"
6,X61,X45,1,0,0.040296509861946106,0.0,1.0,1.0,1.0,['X44']
7,X61,X45,1,1,0.17931883670389653,0.31156513430890026,2.0,1.0,1.0,['X44']
8,X13,X16,0,0,0.000794131017755717,0.00015511216316059018,1.0,20.0,1.0,"['X45', 'X51', 'X12', 'X5', 'X56', 'X70', 'X41', 'X22', 'X85', 'X60', 'X63', 'X25', 'X23', 'X40', 'X89', 'X53', 'X69', 'X38', 'X4', 'X99']"
9,X13,X16,0,1,0.103667812544154,0.28702879911162565,2.0,20.0,1.0,"['X45', 'X51', 'X12', 'X5', 'X56', 'X70', 'X41', 'X22', 'X85', 'X60', 'X63', 'X25', 'X23', 'X40', 'X89', 'X53', 'X69', 'X38', 'X4', 'X99']"
10,X13,X16,1,0,0.5525304556824266,0.4283359097801813,1.0,20.0,1.0,"['X45', 'X51', 'X12', 'X5', 'X56', 'X70', 'X41', 'X22', 'X85', 'X60', 'X63', 'X25', 'X23', 'X40', 'X89', 'X53', 'X69', 'X38', 'X4', 'X99']"
11,X13,X16,1,1,0.5092264532228,0.44922067951000333,2.0,20.0,1.0,"['X45', 'X51', 'X12', 'X5', 'X56', 'X70', 'X41', 'X22', 'X85', 'X60', 'X63', 'X25', 'X23', 'X40', 'X89', 'X53', 'X69', 'X38', 'X4', 'X99']"
12,X13,X44,0,0,0.00043840069556608794,2.3563056032014485e-05,1.0,7.0,1.0,"['X5', 'X64', 'X45', 'X26', 'X63', 'X59', 'X40']"
13,X13,X44,0,1,0.0005836305354023352,0.00016073708404777535,2.0,6.9,1.0,"['X5', 'X64', 'X45', 'X26', 'X63', 'X59', 'X40']"
14,X13,X44,1,0,0.5134081338415853,0.4699580727048663,1.0,7.0,1.0,"['X5', 'X64', 'X45', 'X26', 'X63', 'X59', 'X40']"
15,X13,X44,1,1,0.6433957293222192,0.44753803155044647,2.0,6.6,1.0,"['X5', 'X64', 'X45', 'X26', 'X63', 'X59', 'X40']"
16,X80,X16,0,0,0.9972027242183685,0.00021729492262526672,1.0,7.0,0.0,"['X22', 'X51', 'X63', 'X85', 'X60', 'X38', 'X40']"
17,X80,X16,0,1,0.6001321902847849,0.48658994726390575,2.0,7.5,0.0,"['X22', 'X51', 'X63', 'X85', 'X60', 'X38', 'X23', 'X40']"
18,X80,X16,1,0,0.004969177627936005,0.0002987885588595765,1.0,7.0,0.0,"['X22', 'X51', 'X63', 'X85', 'X60', 'X38', 'X40']"
19,X80,X16,1,1,0.053940034506376834,0.21652869097483368,2.0,7.5,0.0,"['X22', 'X51', 'X63', 'X85', 'X60', 'X38', 'X23', 'X40']"
20,X75,X9,0,0,0.9995026528835297,3.1485771515609036e-05,1.0,7.0,1.0,"['X87', 'X71', 'X49', 'X56', 'X84', 'X58', 'X76']"
21,X75,X9,0,1,0.7501018466427922,0.43187776511040576,2.0,7.0,1.0,"['X87', 'X71', 'X49', 'X56', 'X84', 'X58', 'X76']"
22,X75,X9,1,0,0.301206833019387,0.4569421961370891,1.0,7.0,1.0,"['X87', 'X71', 'X49', 'X56', 'X84', 'X58', 'X76']"
23,X75,X9,1,1,0.4508059892745223,0.4960159072463726,2.0,7.0,1.0,"['X87', 'X71', 'X49', 'X56', 'X84', 'X58', 'X76']"
24,X22,X27,0,0,0.998231953382492,0.0009134227688794353,1.0,5.0,0.0,"['X51', 'X60', 'X6', 'X80', 'X40']"
25,X22,X27,0,1,0.9290712863206864,0.16010675136699604,2.0,5.0,0.0,"['X51', 'X60', 'X6', 'X80', 'X40']"
26,X22,X27,1,0,0.5332972407341003,0.0030796850300208985,1.0,5.0,0.0,"['X51', 'X60', 'X6', 'X80', 'X40']"
27,X22,X27,1,1,0.6221998900175094,0.18148970576928627,2.0,5.0,0.0,"['X51', 'X60', 'X6', 'X80', 'X40']"
