,target_var,condition_var,condition_val,intervention,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X76,X3,0,0,0.9943886399269104,0.0,1.0,2.0,1.0,"['X36', 'X72']"
1,X76,X3,0,1,0.6787915440897146,0.43773596510842877,2.0,2.0,1.0,"['X36', 'X72']"
2,X76,X3,1,0,0.37358366946379346,0.4409558005266142,1.0,2.0,1.0,"['X36', 'X72']"
3,X76,X3,1,1,0.685182032485803,0.4408112394744826,2.0,2.0,1.0,"['X36', 'X72']"
4,X66,X42,0,0,0.8036368290583292,0.0045919272431609115,1.0,7.0,1.0,"['X20', 'X15', 'X90', 'X4', 'X17', 'X93', 'X29']"
5,X66,X42,0,1,0.5666773666938146,0.23698170752609385,2.0,4.5,1.0,"['X20', 'X15', 'X90', 'X4', 'X17', 'X93', 'X29']"
6,X66,X42,1,0,0.27347169319788617,0.0023183707733103105,1.0,7.0,1.0,"['X20', 'X15', 'X90', 'X4', 'X17', 'X93', 'X29']"
7,X66,X42,1,1,0.37669554352760315,0.18332186483738735,2.0,4.5,1.0,"['X20', 'X15', 'X90', 'X4', 'X17', 'X93', 'X29']"
8,X21,X24,0,0,0.7103305657704672,0.20356138279799713,1.0,5.0,1.0,"['X20', 'X87', 'X2', 'X10', 'X9']"
9,X21,X24,0,1,0.3768167784049486,0.3638899988808252,2.0,5.0,1.0,"['X20', 'X87', 'X2', 'X10', 'X9']"
10,X21,X24,1,0,0.014499665271917669,0.010170675920010634,1.0,5.0,1.0,"['X20', 'X87', 'X2', 'X10', 'X9']"
11,X21,X24,1,1,0.1847680334103643,0.364498696393468,2.0,5.0,1.0,"['X20', 'X87', 'X2', 'X10', 'X9']"
12,X9,X42,0,0,0.002623526379466057,0.0,1.0,0.0,0.0,[]
13,X9,X42,0,1,0.31883062329143286,0.3162070969119668,2.0,0.0,0.0,[]
14,X9,X42,1,0,0.9995003938674927,0.0,1.0,0.0,0.0,[]
15,X9,X42,1,1,0.8163555264472961,0.18314486742019653,2.0,0.0,0.0,[]
16,X9,X51,0,0,0.06877391785383224,0.0,1.0,0.0,0.0,[]
17,X9,X51,0,1,0.07196614518761635,0.0031922273337841034,2.0,0.0,0.0,[]
18,X9,X51,1,0,0.07094099372625351,0.0,1.0,0.0,0.0,[]
19,X9,X51,1,1,0.07311661913990974,0.0021756254136562347,2.0,0.0,0.0,[]
20,X50,X42,0,0,0.2548225224018097,0.0,1.0,2.0,1.0,"['X4', 'X90']"
21,X50,X42,0,1,0.5077531784772873,0.3476062803406287,2.0,2.0,1.0,"['X4', 'X90']"
22,X50,X42,1,0,0.9997077584266663,0.0,1.0,2.0,1.0,"['X4', 'X90']"
23,X50,X42,1,1,0.7615234057108561,0.3367269207546545,2.0,2.0,1.0,"['X4', 'X90']"
24,X42,X82,0,0,0.2799850784552594,0.3936813992433528,1.0,5.0,1.0,"['X15', 'X4', 'X17', 'X3', 'X29']"
25,X42,X82,0,1,0.30592023802455515,0.43271556393547544,2.0,5.0,1.0,"['X15', 'X4', 'X17', 'X3', 'X29']"
26,X42,X82,1,0,0.9959774812062582,2.194445912467216e-05,1.0,5.0,1.0,"['X15', 'X4', 'X17', 'X3', 'X29']"
27,X42,X82,1,1,0.8292286078600833,0.37011026176384626,2.0,5.0,1.0,"['X15', 'X4', 'X17', 'X3', 'X29']"
